device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,57.266,35784849836,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784849836,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784849836,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784855601,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784861372,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784867138,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784872901,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784878660,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35784884452,0,0,0.000,0.000,0.000,0.000,
