device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587289435,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.161,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587295507,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587301470,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587307382,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587313299,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10587319374,0,0,0.000,0.000,0.000,0.000,
