device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725754096,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725760014,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725765968,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725771883,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725777817,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.964,10725783749,0,0,0.000,0.000,0.000,0.000,
