device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994349982,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994355998,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994362033,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994368063,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994374086,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994380109,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,1994386133,0,0,0.000,0.000,0.000,0.000,
