device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032116379,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032122434,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032128461,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032134437,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.712,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032140449,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.782,2032146467,0,0,0.000,0.000,0.000,0.000,
