device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967456164,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967462227,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967468301,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967474363,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967480427,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967486479,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
GPU,2,60.161,37967492549,0,0,0.000,0.000,0.000,0.000,
