device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237451819,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237457595,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237463363,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237469124,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237474892,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.378,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237480658,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.135,37237486430,0,0,0.000,0.000,0.000,0.000,
