device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870640867,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870646983,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870653118,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870659238,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.879,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870665356,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
GPU,1,60.810,37870671466,0,0,0.000,0.000,0.000,0.000,
